population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality
2.35E+08,2.48,0.2,1.755044,21.85576,7856,126.4216,69.5,36.2
7.25E+07,1.88,0.2,7.892211,25.31003,15955,125.1859,76.9,21.4
4.48E+06,2,0.2,9.882531,27.65325,47713,124.7801,79.4,4.5
7.09E+06,2.92,0.2,10.001188,27.13151,28562,121.0838,80.9,4.9
5.93E+07,1.39,0.3,7.465942,26.4802,37475,123.703,81.4,4.1
2.72E+06,2.39,1.7,4.391456,24.00421,8951,125.3685,75.5,18.9
1.27E+08,1.34,0.06,9.536606,23.50004,34800,121.9651,82.6,3.4
1.59E+07,2.51,0.1,14.718104,26.29078,18797,128.8517,66.1,25.9
3.82E+07,4.76,6.3,0.266308,21.59258,2358,129.9341,61.5,71
2.14E+06,1.5,0.6,3.341849,26.45693,20977,129.5746,72.3,10.5
4.11E+06,1.57,0.1,3.996722,27.20117,14158,127.5037,77.6,11.3
1.97E+06,3.34,23.6,0.008618,21.90157,2041,131.1361,45.2,114.2
3.67E+06,5.19,1.6,0.157352,21.89537,588,131.2555,61,100.9
3.22E+06,1.42,0.1,4.498483,26.86102,23223,130.8226,72,8.2
4.85E+05,1.63,0.3,22.16808,27.43404,95001,122.3705,80.7,2.8
1.99E+07,4.79,0.2,0.099422,21.40347,1528,132.8371,63.4,66.7
1.39E+07,5.78,11.2,0.08247,22.03468,674,133.939,51.4,101.1
2.72E+07,2.05,0.5,7.752234,24.73069,19968,123.8593,74.5,8
3.21E+05,2.38,0.06,3.277726,23.21991,12029,123.3223,78.2,16
1.42E+07,6.82,1,0.041079,21.78881,1602,128.0308,55.8,148.3
4.06E+05,1.38,0.1,6.182771,27.68361,27872,124.1571,81.4,6.6
3.41E+06,4.94,0.7,0.613104,22.62295,3356,129.9875,63.6,103
1.24E+06,1.58,0.9,3.078763,25.15669,14615,130.8786,72.1,15.8
1.15E+08,2.35,0.3,4.261172,27.42468,15826,122.1216,75.7,17.9
4.11E+06,1.49,0.4,1.313321,24.2369,3890,129.9424,69.6,17.6
2.63E+06,2.37,0.06,3.759487,24.88385,7563,129.7504,63.2,34.8
3.14E+07,2.44,0.1,1.594083,25.63182,6091,126.5284,73.3,35.8
2.30E+07,5.54,11.4,0.104748,21.93536,864,135.3949,55,114.4
5.10E+07,2.05,0.6,0.191053,21.44932,2891,123.1421,60.8,87.2
2.63E+07,2.9,0.4,0.105413,20.76344,1866,125.5561,68.6,50.7
1.65E+07,1.77,0.2,10.533028,26.01541,47388,121.695,80.3,4.8
4.29E+06,2.12,0.1,8.009084,27.76893,32122,118.7421,80.2,6.4
5.59E+06,2.72,0.2,0.778152,25.77291,4060,123.4792,75.2,28.1
1.51E+07,7.59,0.8,0.063437,21.21958,843,135.1021,59.7,141.3
1.51E+08,6.02,3.6,0.61469,23.03322,4684,135.492,58,140.9
4.77E+06,1.96,0.1,10.529769,26.93424,65216,126.0266,80.7,3.6
2.65E+06,2.89,0.1,15.57208,26.24109,47799,126.887,74.6,11.9
1.63E+08,3.58,0.1,0.935618,22.29914,4187,126.5196,64.1,95.5
3.50E+06,2.61,0.9,2.223796,26.26959,14033,122.6829,77.1,21
6.54E+06,4.07,0.9,0.530746,25.01506,1982,120.0524,58.2,69.7
6.05E+06,3.06,0.3,0.698582,25.54223,6684,123.615,73.6,25.7
2.86E+07,2.58,0.4,1.450134,24.77041,9249,119.6368,76.8,23.2
9.03E+07,3.26,0.06,0.842121,22.87263,5332,122.3459,69.4,33.4
3.85E+07,1.33,0.1,8.270767,26.6738,19996,129.6765,75.3,6.7
1.06E+07,1.36,0.5,5.486926,26.68445,27747,127.2631,79.2,4.1
1.39E+06,2.2,0.06,48.702062,28.13138,126076,126.3153,80.4,9.5
2.07E+07,1.34,0.1,4.383449,25.41069,18032,128.7553,73.4,16.1
1.43E+08,1.49,1,11.982718,26.01131,22506,128.4903,67.6,13.5
9.75E+06,5.06,2.9,0.054244,22.55453,1173,135.1005,62.2,78.3
1.22E+07,5.11,0.8,0.461634,21.92743,2162,130.2795,64.3,75.8
9.11E+06,1.41,0.1,5.271223,26.51495,12522,130.3755,76.4,8
5.52E+06,5.13,1.6,0.118256,22.53139,1289,134.716,55.9,179.1
4.85E+06,1.28,0.1,4.114441,23.83996,65991,121.1736,80.9,2.8
5.40E+06,1.31,0.06,6.901654,26.92717,24670,129.528,74.8,8.8
2.03E+06,1.43,0.06,8.511828,27.43983,30816,129.9231,78.5,3.7
9.13E+06,7.06,0.6,0.068219,21.96917,615,131.5318,56.7,168.5
5.03E+07,2.54,17.9,9.42796,26.85538,12263,130.9949,55,66.1
4.58E+07,1.42,0.4,7.293089,27.49975,34676,122.0453,81.1,5
1.99E+07,2.32,0.06,0.580791,21.96671,6907,124.8615,74.3,11.7
3.45E+07,4.79,1,0.382118,22.40484,3246,129.7199,67.4,84.7
5.07E+05,2.41,1,4.74114,25.49887,13470,124.6358,69.1,26.4
1.15E+06,3.7,25.9,0.949861,23.16969,5887,131.8793,46.1,112.2
9.23E+06,1.92,0.1,5.315688,26.37629,43421,122.9473,81.1,3.2
7.65E+06,1.47,0.4,5.333058,26.20195,55020,119.6465,81.9,4.7
7.25E+06,3.7,0.2,0.453168,23.77966,2001,129.9657,69.5,56.2
4.28E+07,5.54,5.8,0.154673,22.47792,2030,130.8328,59.7,72.4
6.65E+07,1.48,1.3,3.835102,23.00803,12216,120.4969,74.1,15.6
6.05E+06,4.88,3.2,0.251983,21.87875,1219,131.0248,60,96.4
1.32E+06,1.8,1.5,31.957717,26.39669,30875,124.9939,71.3,24.9
1.04E+07,2.04,0.06,2.440669,25.15699,9938,128.6291,76.5,19.4
7.03E+07,2.15,0.06,4.021903,26.70371,16454,124.0675,75.1,22.2
3.10E+07,6.34,6.4,0.100853,22.35833,1437,134.5204,57.2,89.3
4.60E+07,1.38,1.1,7.032359,25.42379,8762,131.4962,68.2,12.9
6.17E+07,1.87,0.2,8.526467,27.39249,37739,124.0845,79.5,5.6
3.04E+08,2.07,0.6,18.545992,28.45698,50384,118.4777,78.2,7.7
3.35E+06,2.11,0.5,2.489764,26.39123,15317,124.2604,76,13
2.70E+07,2.46,0.1,4.476669,25.32054,3733,124.3462,68.7,49.2
8.66E+07,1.86,0.4,1.479347,20.9163,4085,121.9367,75.4,26.2
1.31E+07,5.88,13.6,0.148982,20.68321,3039,132.4493,52,94.9
1.35E+07,3.85,15.1,0.654323,22.0266,1286,131.9745,49,98.3
